#Table1
petroMag_r,petroMagErr_r,extinction_r,petroMag_g,extinction_g,petroR50_r,petroR90_r,velDisp,dered_r,dered_g,objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
17.81836,0.0169753,0.1027687,18.93677,0.1485536,1.388887,4.47817,158.056,17.74629,18.82061,1237648702983700820,222.833376140745,-1.157028321049,20.79305,18.96916,17.84906,17.40759,17.08889,752,301,1,529,347983918772807680,GALAXY,0.185144,309,51994,294
17.53768,0.01337962,0.1049467,18.70579,0.151702,1.682349,4.985616,191.4941,17.37863,18.47893,1237648702983766356,222.937204640156,-1.20230940425629,20.65126,18.63063,17.48357,16.98044,16.59957,752,301,1,530,347982544383272960,GALAXY,0.1499039,309,51994,289
18.22561,0.02407118,0.1019859,19.71237,0.1474221,1.81925,5.422913,236.7772,18.09476,19.58521,1237648702983832027,223.000132656536,-1.07517553594599,21.67582,19.73263,18.19674,17.58377,17.211,752,301,1,531,347981444871645184,GALAXY,0.2860533,309,51994,285
18.39139,0.02521653,0.1073552,19.99422,0.1551835,1.568319,4.403674,263.1822,18.10183,19.72477,1237648702984028268,223.499466881063,-1.09008985849122,23.56496,19.87996,18.20918,17.58688,17.20965,752,301,1,534,347958355127461888,GALAXY,0.2984748,309,51994,201
17.49146,0.0201653,0.1136034,18.67455,0.1642153,2.168697,7.011253,217.538,17.37584,18.58677,1237648702984028446,223.537512130061,-1.18439788852246,20.85633,18.75099,17.48944,16.96717,16.59745,752,301,1,534,347960554150717440,GALAXY,0.1940803,309,51994,209
18.45842,0.04016464,0.1154806,20.19179,0.1669288,2.023367,6.385291,274.6075,18.32681,20.011,1237648702984159618,223.747202327699,-1.24910402496014,25.8185,20.17793,18.44229,17.82986,17.47553,752,301,1,536,347941587575138304,GALAXY,0.3144162,309,51994,140
17.40208,0.01115971,0.1300512,18.48172,0.1879908,1.56479,4.912855,175.2822,17.25503,18.27345,1237648702984421726,224.437161172695,-1.09759894783295,20.42657,18.46144,17.38508,16.96222,16.62664,752,301,1,540,347908602226305024,GALAXY,0.1589478,309,51994,20
17.95992,0.02302789,0.1133681,19.71277,0.1638752,2.070674,6.860664,278.2154,17.92008,19.47304,1237648703520702922,223.041770348295,-0.712094980494384,21.53205,19.63692,18.03345,17.4731,17.07918,752,301,2,531,347983369016993792,GALAXY,0.2634605,309,51994,292
18.08303,0.0342674,0.1125303,19.65469,0.1626641,1.709469,5.548148,283.8111,17.92587,19.4461,1237648703520702963,223.119913810571,-0.774163939711936,22.46758,19.60877,18.0384,17.48883,17.07553,752,301,2,531,347969899999553536,GALAXY,0.2768014,309,51994,243
17.59045,0.01607779,0.108291,18.98404,0.1565362,1.87889,6.00627,204.0417,17.43305,18.79477,1237648703520899160,223.502259599813,-0.775048969749847,21.31057,18.9513,17.54134,17.01032,16.64834,752,301,2,534,347962753173972992,GALAXY,0.2173496,309,51994,217
16.61042,0.007636469,0.1184144,17.61871,0.1711697,2.100967,6.671407,194.3858,16.43567,17.44444,1237648703520964955,223.696972655707,-0.69279925268853,19.68394,17.61561,16.55408,16.04839,15.67928,752,301,2,535,347939938307696640,GALAXY,0.08374847,309,51994,134
17.09724,0.01259984,0.1249577,18.19517,0.1806281,1.792383,5.717684,216.981,16.88519,17.93429,1237648704057639258,223.28106469517,-0.231178922196562,20.18379,18.11491,17.01015,16.5618,16.19726,752,301,3,532,347964127563507712,GALAXY,0.1386496,309,51994,222
17.86588,0.02029265,0.1406016,19.21298,0.2032416,1.759524,5.590572,225.402,17.66947,18.93197,1237648704058097989,224.290965639757,-0.308075096965674,21.59236,19.13521,17.81007,17.33043,16.98588,752,301,3,539,347934440749557760,GALAXY,0.2382708,309,51994,114
17.91858,0.02371847,0.1328968,19.12973,0.1921043,2.576714,7.667975,187.4033,17.71041,19.04222,1237648704058360272,224.867628340799,-0.209040197875162,21.05522,19.23432,17.84331,17.20224,16.67337,752,301,3,543,347911076127467520,GALAXY,0.2011557,309,51994,29
17.63666,0.014361,0.100387,18.87624,0.1451108,1.675684,5.218411,196.6399,17.49199,18.67839,1237648704594116940,222.356430268868,0.039657410332889,20.9254,18.8235,17.59238,17.126,16.71863,752,301,4,526,348000136569317376,GALAXY,0.1750458,309,51994,353
16.59919,0.02283919,0.1081489,17.83186,0.1563307,2.588764,8.315955,274.9917,16.38662,17.57607,1237648704594182493,222.452624758076,0.149019784634928,19.83277,17.7324,16.49477,16.0027,15.66131,752,301,4,527,346929206673827840,GALAXY,0.1753258,308,51662,553
17.86602,0.02294081,0.1006141,18.934,0.1454392,2.078358,6.874036,249.1993,17.7862,18.83124,1237648704594379239,222.972631273464,0.12160847557822,20.9264,18.97668,17.88681,17.47104,17.09276,752,301,4,530,346952021540104192,GALAXY,0.1432363,308,51662,636
17.98182,0.02288554,0.09978949,19.45044,0.1442471,2.490752,7.269688,261.0657,17.76133,19.35868,1237648704594379276,222.859388678959,0.13440328288781,21.92344,19.50292,17.86112,17.19508,16.72559,752,301,4,530,346950097394755584,GALAXY,0.2512349,308,51662,629
17.52522,0.01053956,0.1035002,18.67352,0.149611,1.329472,4.04052,261.9354,17.36118,18.48621,1237648704594444552,223.036709636702,0.141810662978571,20.70766,18.63582,17.46468,16.96702,16.55964,752,301,4,531,346948173249406976,GALAXY,0.1467703,308,51662,622
16.99255,0.01199192,0.1062523,18.20954,0.1535893,1.858241,5.950481,251.7782,16.78256,17.96868,1237648704594444601,223.064665072379,0.190573606475041,20.3353,18.12227,16.88881,16.39805,16.00761,752,301,4,531,346950922028476416,GALAXY,0.1890033,308,51662,632
15.42962,0.01454987,0.1122459,16.60557,0.1622531,2.208403,6.367201,195.8827,15.20109,16.24351,1237648704594575483,223.403838185549,0.00570545315927913,18.25296,16.40576,15.31334,14.80737,14.52966,752,301,4,533,347965501953042432,GALAXY,0.04384198,309,51994,227
17.13446,0.01409329,0.1099519,18.44657,0.158937,1.96419,6.447008,265.3653,16.98336,18.24931,1237648704594575610,223.312751690945,0.033656605276884,20.45406,18.40825,17.09331,16.5848,16.24445,752,301,4,533,347966326586763264,GALAXY,0.2177646,309,51994,230
17.7817,0.02083661,0.1213552,18.73221,0.1754206,2.268044,6.143404,196.6007,17.38079,18.38888,1237648704595034303,224.361859718339,0.00833197354435017,20.21373,18.5643,17.50214,16.98134,16.64865,752,301,4,540,347924820022814720,GALAXY,0.188297,309,51994,79
17.85398,0.01955261,0.1158532,18.88697,0.1674675,1.951468,5.312326,157.1342,17.81897,18.84302,1237648705130528994,221.239899565324,0.514442268569199,20.77189,19.01048,17.93483,17.43392,17.09735,752,301,5,519,346905567173830656,GALAXY,0.1733962,308,51662,467
17.56487,0.01031227,0.09857634,18.70255,0.1424935,1.317541,3.921968,193.9812,17.35839,18.4646,1237648705131249919,222.857213631232,0.465838885062261,20.87345,18.60709,17.45697,16.98756,16.61755,752,301,5,530,346937727888943104,GALAXY,0.154098,308,51662,584
17.68625,0.02336314,0.1179224,18.66427,0.1704584,1.561007,4.724986,182.8195,17.52832,18.53422,1237648705667661838,221.815426492639,0.926377440854311,20.59575,18.70468,17.64624,17.22203,16.76195,752,301,6,523,346921235214526464,GALAXY,0.1373757,308,51662,524
17.51631,0.01625366,0.1176278,18.73319,0.1700326,1.678749,5.101506,219.5876,17.31905,18.50727,1237648705667662097,221.904101419632,0.988761119337646,20.98339,18.67731,17.43668,16.94495,16.58559,752,301,6,523,346924258871502848,GALAXY,0.1720318,308,51662,535
16.91351,0.0205403,0.1174219,18.23584,0.169735,3.010907,9.390797,230.4118,16.73321,17.95594,1237648705667727667,222.009748474361,1.04120571543986,20.30036,18.12568,16.85064,16.34614,15.99146,752,301,6,524,346925358383130624,GALAXY,0.1721174,308,51662,539
17.38965,0.01150177,0.09896467,18.72313,0.1430548,1.691867,5.227046,261.9768,17.24678,18.55701,1237648705667924118,222.445923088866,0.902970190760599,20.82768,18.70006,17.34575,16.83262,16.41847,752,301,6,527,346945424470337536,GALAXY,0.2121154,308,51662,612
17.35777,0.01002799,0.1022334,18.38997,0.1477799,1.801609,5.299787,147.3756,17.18149,18.19841,1237648705668120860,222.966823476445,1.04577010874824,20.25629,18.34619,17.28373,16.83075,16.44218,752,301,6,530,348004259737921536,GALAXY,0.1194124,309,51994,368
17.82727,0.0256103,0.1120385,19.16307,0.1619532,1.85199,5.745233,232.2493,17.69149,18.9629,1237648705668186196,223.07941663152,0.87956133544285,21.33785,19.12485,17.80353,17.32133,16.9459,752,301,6,531,348006733639084032,GALAXY,0.1926386,309,51994,377
18.53692,0.03190397,0.1124225,20.26877,0.1625084,1.797823,5.347018,207.5798,18.44122,20.03217,1237648720176218123,223.850882540344,-0.865979164459922,22.50877,20.19468,18.55364,17.93658,17.5638,756,301,1,722,347925369778628608,GALAXY,0.2844122,309,51994,81
18.47888,0.03287291,0.1292971,20.03657,0.1869007,2.140729,6.42698,303.0247,18.32717,20.02204,1237648720176480603,224.441388765886,-0.87540090300654,22.29806,20.20894,18.45646,17.85241,17.42349,756,301,1,726,347907502714677248,GALAXY,0.3344679,309,51994,16
18.32182,0.03060302,0.1236051,19.81173,0.1786729,2.501199,7.236546,209.7562,18.08106,19.73133,1237648720712761693,223.170762941867,-0.571258793379369,21.8896,19.91,18.20467,17.57568,17.23005,756,301,2,717,347977046825134080,GALAXY,0.3149635,309,51994,269
18.24989,0.02148955,0.1263147,19.8768,0.1825897,1.556507,4.707507,317.9755,18.10652,19.70813,1237648720712892829,223.490809199401,-0.555924623104901,22.28478,19.89072,18.23284,17.63611,17.243,756,301,2,719,347954231958857728,GALAXY,0.2815126,309,51994,186
17.56456,0.01549596,0.1417983,18.82355,0.2049715,2.228067,6.663541,189.0152,17.29992,18.55396,1237648720713351417,224.471468462146,-0.621369761144605,20.98733,18.75893,17.44172,16.93188,16.56759,756,301,2,726,347906952958863360,GALAXY,0.2169825,309,51994,14
17.51886,0.01612161,0.1107937,18.54486,0.1601539,2.458913,6.672315,152.6072,17.53223,18.62234,1237648721249566933,222.99870066482,-0.0398578791815898,20.83894,18.7825,17.64302,17.03308,16.53287,756,301,3,716,347979245848389632,GALAXY,0.09942516,309,51994,277
17.79427,0.01362102,0.1116063,18.90623,0.1613285,1.570903,4.45495,218.2888,17.58659,18.68313,1237648721249698142,223.387312113279,-0.0116864567851409,20.79576,18.84446,17.69819,17.1945,16.80757,756,301,3,718,347964952197228544,GALAXY,0.1695934,309,51994,225
17.30112,0.01599391,0.1172177,18.31431,0.1694398,2.549518,8.305812,206.9093,17.12829,18.17728,1237648721249829056,223.56513221987,-0.164393583361606,20.4244,18.34672,17.24551,16.78611,16.38112,756,301,3,720,347953407325136896,GALAXY,0.1385776,309,51994,183
17.57446,0.02045052,0.1101693,19.08404,0.1592513,3.094306,8.67214,268.5135,17.43147,18.88458,1237648721249829115,223.64930610859,-0.0473128923270846,21.13346,19.04384,17.54164,16.9755,16.55053,756,301,3,720,347955881226299392,GALAXY,0.2350174,309,51994,192
17.75395,0.01698062,0.111661,19.13478,0.1614076,1.705652,5.347171,242.8428,17.59246,18.9338,1237648721249894721,223.814039361247,-0.0784012976366365,21.29928,19.0952,17.70413,17.17646,16.8039,756,301,3,721,347950933423974400,GALAXY,0.2295315,309,51994,174
17.81031,0.02715459,0.1168197,18.84229,0.1688645,1.481446,4.505477,183.6367,17.62717,18.63694,1237648721249960276,223.952042630576,-0.115365948258188,21.27213,18.80581,17.74399,17.28585,16.96475,756,301,3,722,347945160987928576,GALAXY,0.1364031,309,51994,153
17.80058,0.01197108,0.1243286,18.92938,0.1797187,1.522175,4.027039,184.0444,17.5458,18.65494,1237648721250091334,224.217753273425,-0.122671795029203,20.69744,18.83466,17.67013,17.18506,16.81527,756,301,3,724,347931417092581376,GALAXY,0.1725722,309,51994,103
17.35399,0.01517578,0.121709,18.51118,0.175932,1.976563,6.396344,220.3824,17.2174,18.34419,1237648721250156831,224.320410055442,-0.0417164637409456,20.47462,18.52012,17.33911,16.86301,16.5043,756,301,3,725,347919872220489728,GALAXY,0.172746,309,51994,61
17.43603,0.01364776,0.126244,18.69216,0.1824875,1.787358,5.420548,228.952,17.26605,18.45611,1237648721250156889,224.438358124107,-0.0119362175937749,20.84724,18.6386,17.3923,16.89342,16.53337,756,301,3,725,347923995389093888,GALAXY,0.1877318,309,51994,76
17.71255,0.01013121,0.1102841,18.86718,0.1594172,1.36944,3.588625,190.7016,17.49309,18.63501,1237648721785716764,221.331095445258,0.420666017732447,20.84336,18.79443,17.60337,17.10643,16.78285,756,301,4,705,346904742540109824,GALAXY,0.1764666,308,51662,464
17.8877,0.01977823,0.0941712,18.97513,0.1361258,2.266839,6.233653,167.9762,17.60239,18.74526,1237648721785848075,221.654519107972,0.295733054920905,20.35358,18.88139,17.69656,17.17068,16.77704,756,301,4,707,346906941563365376,GALAXY,0.1997388,308,51662,472
17.42524,0.01303169,0.1008248,18.60735,0.1457436,1.775052,5.539727,195.1602,17.26693,18.37556,1237648721786175612,222.432614018206,0.372140500670638,20.52347,18.5213,17.36775,16.90118,16.53591,756,301,4,712,346927832284293120,GALAXY,0.1526486,308,51662,548
17.79966,0.01366001,0.1031334,18.97273,0.1490807,1.286625,3.639178,209.4589,17.61296,18.76492,1237648721786372382,222.935324855868,0.345440292473469,20.87909,18.914,17.71609,17.25692,16.92095,756,301,4,715,346948997883127808,GALAXY,0.1877218,308,51662,625
17.41774,0.01314932,0.1114804,18.62065,0.1611465,1.827054,5.740302,234.2681,17.26025,18.45428,1237648722322718972,221.694975304489,0.724406328469444,20.77533,18.61542,17.37173,16.84312,16.4525,756,301,5,707,346903093272668160,GALAXY,0.1723687,308,51662,458
17.23408,0.02834321,0.1116068,18.49947,0.1613293,2.118347,6.7676,297.5565,17.07582,18.27661,1237648722322784354,221.749813024903,0.751658017144425,20.55561,18.43793,17.18742,16.68576,16.31974,756,301,5,708,346900619371505664,GALAXY,0.1711439,308,51662,449
17.8864,0.03012933,0.1159041,19.1587,0.167541,1.604496,4.950209,259.38,17.6578,18.8391,1237648722322784486,221.862244074972,0.823341885942388,21.01326,19.00664,17.77371,17.24937,16.86233,756,301,5,708,346901169127319552,GALAXY,0.1694978,308,51662,451
17.48768,0.01446702,0.09860926,18.74967,0.1425411,2.138163,6.727633,190.7133,17.36307,18.62241,1237648722322850100,221.97752034695,0.705235960100711,20.88051,18.76495,17.46168,16.9688,16.64975,756,301,5,709,346925083505223680,GALAXY,0.2112986,308,51662,538
17.14874,0.01187831,0.05301938,18.31136,0.07664026,1.673019,5.168444,251.8626,17.03132,18.18046,1237648722843140213,184.046442910092,1.25549483942056,20.45431,18.2571,17.08434,16.60476,16.25005,756,301,6,456,583250274890573824,GALAXY,0.1554893,518,52282,124
17.62306,0.01635023,0.1782107,18.71858,0.2576061,1.919679,5.860038,222.0798,17.38306,18.43423,1237649918426087534,8.45025480435066,13.913674517247,20.6526,18.69184,17.56128,17.06477,16.70427,1035,301,1,20,470705356381644800,GALAXY,0.1423952,418,51817,288
17.82118,0.02690103,0.1377283,19.16045,0.1990882,1.975798,6.298573,202.8139,17.72162,18.93633,1237649918426415322,9.26871170066761,13.8618910317795,21.37853,19.13542,17.85935,17.33253,16.98373,1035,301,1,25,470686389806065664,GALAXY,0.1810183,418,51817,219
16.9846,0.01065027,0.1636948,18.14613,0.2366231,1.742374,5.426689,197.9924,16.75614,17.82439,1237649918427660376,12.0963107492333,13.7945539445427,20.12381,18.06101,16.91984,16.45048,16.05785,1035,301,1,44,471752367369381888,GALAXY,0.1323298,419,51879,1
17.45671,0.01165689,0.1368646,18.6205,0.1978398,1.561631,4.656407,252.2196,17.28864,18.39438,1237649918963023954,8.57643178718314,14.2704429518212,21.06432,18.59222,17.4255,16.93908,16.50413,1035,301,2,21,470706181015365632,GALAXY,0.1370871,418,51817,291
17.62539,0.0204756,0.1174623,19.08161,0.1697934,1.902889,6.171813,260.5029,17.4986,18.90399,1237649919499763863,8.3343050643216,14.7047178391004,20.88254,19.07378,17.61607,17.09228,16.74192,1035,301,3,19,470698209556064256,GALAXY,0.2607432,418,51817,262
17.83796,0.01296316,0.1734266,18.93541,0.2506907,1.425496,3.970292,167.2472,17.60603,18.63048,1237649919500025992,8.88311461003553,14.7515826416024,20.9043,18.88117,17.77946,17.29533,16.915,1035,301,3,23,470688039073507328,GALAXY,0.1490061,418,51817,225
17.28523,0.01155444,0.180753,18.45899,0.261281,1.83859,5.525366,216.6271,17.05805,18.1847,1237649920036896886,8.95266045347358,15.0000698917326,20.65272,18.44598,17.2388,16.72545,16.32501,1035,301,4,23,470691062730483712,GALAXY,0.1491195,418,51817,236
17.66194,0.01880308,0.2042065,18.76428,0.2951834,1.982524,5.235045,178.5165,17.37447,18.41945,1237649920036896907,9.00740776760426,15.081428035597,20.56528,18.71464,17.57867,17.05669,16.67414,1035,301,4,23,470742190021175296,GALAXY,0.1216723,418,51817,422
